grid,grid_label,agent,version,variant,map_name,csv_path,eval_envs,source_max_checkpoint_steps,checkpoint_steps,mean_nav_win_rate_percent,mean_combat_win_rate_percent,mean_win_rate_percent,seed_count,mean_episodes
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2150400,14.583333,0.0,14.583333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2201088,34.375,0.0,34.375,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2250240,3.125,2.083333,5.208333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2300928,18.75,0.0,18.75,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2350080,5.208333,0.0,5.208333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2400768,10.416667,0.0,10.416667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2451456,16.666667,0.0,16.666667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2500608,15.625,0.0,15.625,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2551296,12.5,0.0,12.5,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2600448,26.041667,0.0,26.041667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2651136,10.416667,0.0,10.416667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2700288,20.833333,0.0,20.833333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2750976,25.0,0.0,25.0,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2800128,41.666667,0.0,41.666667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2850816,17.708333,0.0,17.708333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2901504,19.791667,0.0,19.791667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,2950656,22.916667,0.0,22.916667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3001344,33.333333,0.0,33.333333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3050496,40.625,0.0,40.625,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3101184,41.666667,0.0,41.666667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3150336,48.958333,0.0,48.958333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3201024,40.625,0.0,40.625,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3250176,36.458333,0.0,36.458333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3300864,39.583333,0.0,39.583333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3350016,35.416667,0.0,35.416667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3400704,45.833333,1.041667,46.875,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3451392,43.75,0.0,43.75,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3500544,35.416667,0.0,35.416667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3551232,26.041667,0.0,26.041667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3600384,48.958333,0.0,48.958333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3651072,27.083333,0.0,27.083333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3700224,47.916667,0.0,47.916667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3750912,46.875,0.0,46.875,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3800064,41.666667,0.0,41.666667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3850752,59.375,0.0,59.375,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3901440,53.125,0.0,53.125,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,3950592,46.875,0.0,46.875,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,4001280,42.708333,0.0,42.708333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,4050432,44.791667,0.0,44.791667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,4101120,40.625,0.0,40.625,3,32.0
