grid,grid_label,agent,version,variant,map_name,csv_path,eval_envs,source_max_checkpoint_steps,total_episodes,seed_count,seeds,final_checkpoint_steps,nav_win_count,nav_win_percent,combat_win_count,combat_win_percent,combat_loss_count,combat_loss_percent,nav_loss_count,nav_loss_percent
10m,"10M, 8 eval envs",MaskPPO,V3,Base,V3_Base,MaskPPO\V3_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,10000896,96,3,707129798;1441845701;1757819416,10000896,32,33.333333,0,0.0,0,0.0,64,66.666667
10m,"10M, 8 eval envs",MaskPPO,V3,Combat,V3_Combat,MaskPPO\V3_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,10000896,96,3,168567380;306074832;487977976,10000896,16,16.666667,0,0.0,0,0.0,80,83.333333
10m,"10M, 8 eval envs",MaskPPO,V3,Navigate,V3_Navigate,MaskPPO\V3_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,10000896,96,3,813114563;1058436934;1366468300,10000896,35,36.458333,0,0.0,0,0.0,61,63.541667
10m,"10M, 8 eval envs",QMIX,V1,Base,V1_Base,Qmix_reduced\V1_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000000,96,3,125963808;297975710;1076891414,10000000,10,10.416667,0,0.0,0,0.0,86,89.583333
10m,"10M, 8 eval envs",QMIX,V1,Combat,V1_Combat,Qmix_reduced\V1_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000000,96,3,733533947;1199805338;1484093474,10000000,10,10.416667,0,0.0,0,0.0,86,89.583333
10m,"10M, 8 eval envs",QMIX,V1,Navigate,V1_Navigate,Qmix_reduced\V1_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000000,96,3,492604721;830151625;1271041704,10000000,31,32.291667,0,0.0,0,0.0,65,67.708333
10m,"10M, 8 eval envs",QMIX,V2,Base,V2_Base,Qmix_reduced\V2_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000000,96,3,84485844;552267253;1911126628,10000000,23,23.958333,0,0.0,0,0.0,73,76.041667
10m,"10M, 8 eval envs",QMIX,V2,Combat,V2_Combat,Qmix_reduced\V2_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000000,96,3,16977506;1099210291;1295386072,10000000,15,15.625,0,0.0,2,2.083333,79,82.291667
10m,"10M, 8 eval envs",QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000000,96,3,761503082;847312379;1905409104,10000000,20,20.833333,0,0.0,0,0.0,76,79.166667
10m,"10M, 8 eval envs",QMIX,V3,Base,V3_Base,Qmix_reduced\V3_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000000,96,3,398996532;584539864;1069274423,10000000,1,1.041667,0,0.0,0,0.0,95,98.958333
10m,"10M, 8 eval envs",QMIX,V3,Combat,V3_Combat,Qmix_reduced\V3_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000000,96,3,231572513;764010961;942545018,10000000,9,9.375,0,0.0,10,10.416667,77,80.208333
10m,"10M, 8 eval envs",QMIX,V3,Navigate,V3_Navigate,Qmix_reduced\V3_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000000,96,3,255410368;1635725792;1868760108,10000000,1,1.041667,0,0.0,0,0.0,95,98.958333
