nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist,reward,value_estimate,a_move,a_attack,a_noop,a_alive,A_verb,A_direction,A_enemy_idx,A_selected
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-1.723314881324768,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-1.7927380800247192,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-1.8601113557815552,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-1.9241935014724731,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-1.9830182790756226,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-2.033623218536377,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-2.071526050567627,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-2.0898752212524414,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-2.078272819519043,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-2.0208077430725098,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-1.893334984779358,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-1.659852385520935,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-1.2708569765090942,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,-0.672120213508606,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,0.16182363033294678,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.1748021841049194,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.217285633087158,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.132258415222168,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.8560924530029297,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,4.416060447692871,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,4.856295585632324,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.195398807525635,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.440730571746826,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.605520248413086,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.707892894744873,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.765185832977295,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.791189670562744,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.795953750610352,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.786431312561035,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.767362117767334,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.741927623748779,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.712233066558838,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.679686069488525,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.645218372344971,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.609461307525635,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.572810649871826,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.535560607910156,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.497888565063477,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.459932327270508,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.421780109405518,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.383509159088135,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,5.345172882080078,0,0,3,3,2,5,0,0
