grid,grid_label,agent,agent_type,version,variant,map_name,source_path,total_episodes,training_seed_count,evaluation_sc2_seed_count,final_checkpoint_steps,notes,nav_win_count,nav_win_percent,combat_win_count,combat_win_percent,combat_loss_count,combat_loss_percent,timeout_loss_count,timeout_loss_percent
2m,"2M, 8 eval envs, 5 training seeds",QMIX,learned_final_checkpoint,V3,Combat,V3_Combat,Qmix_reduced\V3_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2000000,Pooled final eligible checkpoint across training seeds.,7,4.375,0,0.0,17,10.625,136,85.0
2m,"2M, 8 eval envs, 5 training seeds",QMIX,learned_final_checkpoint,V3,Navigate,V3_Navigate,Qmix_reduced\V3_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2000000,Pooled final eligible checkpoint across training seeds.,26,16.25,0,0.0,0,0.0,134,83.75
2m,"2M, 8 eval envs, 5 training seeds",Scripted oracle,fixed_non_learning_policy,V1,Base,V1_Base,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,31,96.875,1,3.125,0,0.0
2m,"2M, 8 eval envs, 5 training seeds",Scripted oracle,fixed_non_learning_policy,V1,Combat,V1_Combat,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,32,100.0,0,0.0,0,0.0
2m,"2M, 8 eval envs, 5 training seeds",Scripted oracle,fixed_non_learning_policy,V1,Navigate,V1_Navigate,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,32,100.0,0,0.0,0,0.0
2m,"2M, 8 eval envs, 5 training seeds",Scripted oracle,fixed_non_learning_policy,V2,Base,V2_Base,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,12,37.5,20,62.5,0,0.0
2m,"2M, 8 eval envs, 5 training seeds",Scripted oracle,fixed_non_learning_policy,V2,Combat,V2_Combat,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,8,25.0,24,75.0,0,0.0
2m,"2M, 8 eval envs, 5 training seeds",Scripted oracle,fixed_non_learning_policy,V2,Navigate,V2_Navigate,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,9,28.125,23,71.875,0,0.0
2m,"2M, 8 eval envs, 5 training seeds",Scripted oracle,fixed_non_learning_policy,V3,Base,V3_Base,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,0,0.0,32,100.0,0,0.0
2m,"2M, 8 eval envs, 5 training seeds",Scripted oracle,fixed_non_learning_policy,V3,Combat,V3_Combat,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,0,0.0,32,100.0,0,0.0
2m,"2M, 8 eval envs, 5 training seeds",Scripted oracle,fixed_non_learning_policy,V3,Navigate,V3_Navigate,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,0,0.0,32,100.0,0,0.0
